novel_ORF	overlapping_gene_id	overlapping_transcript	overlapping_gene_name	surrounding_gene_ids	surrounding_transcripts	surrounding_gene_names
MSTRG.557_935353_935024_109	ENSG00000188290.6	ENSG00000188290.6	HES4			
MSTRG.568_979207_979275_22	ENSG00000188157.9	ENSG00000188157.9	AGRN			
MSTRG.568_979330_979531_38	ENSG00000188157.9	ENSG00000188157.9	AGRN			
MSTRG.568_980602_980784_33	ENSG00000188157.9	ENSG00000188157.9	AGRN			
MSTRG.569_1027400_1022887_96	ENSG00000131591.13	ENSG00000131591.13	C1orf159			
MSTRG.569_1027400_1026323_54	ENSG00000131591.13	ENSG00000131591.13	C1orf159			
MSTRG.569_1027400_1026747_43	ENSG00000131591.13	ENSG00000131591.13	C1orf159			
MSTRG.569_1027400_1026724_83	ENSG00000131591.13	ENSG00000131591.13	C1orf159			
MSTRG.566_1167659_1168648_329	ENSG00000176022.3	ENSG00000176022.3	B3GALT6	ENSG00000078808.12,	ENSG00000078808.12,	SDF4,
MSTRG.572_1203372_1201670_43	ENSG00000160087.16	ENSG00000160087.16	UBE2J2			
MSTRG.572_1203372_1203238_44	ENSG00000160087.16	ENSG00000160087.16	UBE2J2			
MSTRG.572_1203372_1192667_105	ENSG00000160087.16	ENSG00000160087.16	UBE2J2			
MSTRG.578_1244024_1244484_31	ENSG00000131584.14,ENSG00000169972.7	ENSG00000131584.14,ENSG00000169972.7	ACAP3,PUSL1	,	,	,
MSTRG.578_1244490_1244657_55	ENSG00000131584.14,ENSG00000169972.7	ENSG00000131584.14,ENSG00000169972.7	ACAP3,PUSL1	,	,	,
MSTRG.578_1244634_1244987_57	ENSG00000131584.14,ENSG00000169972.7	ENSG00000131584.14,ENSG00000169972.7	ACAP3,PUSL1	,	,	,
MSTRG.578_1244490_1246301_175	ENSG00000131584.14,ENSG00000169972.7	ENSG00000131584.14,ENSG00000169972.7	ACAP3,PUSL1	,	,	,
MSTRG.579_1249294_1248874_93	ENSG00000127054.14	ENSG00000127054.14	CPSF3L			
MSTRG.579_1248066_1247869_65	ENSG00000127054.14	ENSG00000127054.14	CPSF3L			
MSTRG.579_1259988_1256178_107	ENSG00000127054.14	ENSG00000127054.14	CPSF3L	,ENSG00000224051.2	,ENSG00000224051.2	,GLTPD1
MSTRG.579_1249847_1249677_56	ENSG00000127054.14	ENSG00000127054.14	CPSF3L			
MSTRG.579_1250806_1249443_89	ENSG00000127054.14	ENSG00000127054.14	CPSF3L			
MSTRG.579_1259988_1250991_11	ENSG00000127054.14,ENSG00000240731.1	ENSG00000127054.14,ENSG00000240731.1	CPSF3L,RP5-890O3.9	,,ENSG00000224051.2	,,ENSG00000224051.2	,,GLTPD1
MSTRG.579_1259988_1250328_46	ENSG00000127054.14,ENSG00000240731.1	ENSG00000127054.14,ENSG00000240731.1	CPSF3L,RP5-890O3.9	,,ENSG00000224051.2	,,ENSG00000224051.2	,,GLTPD1
MSTRG.579_1259988_1254768_81	ENSG00000127054.14	ENSG00000127054.14	CPSF3L	,ENSG00000224051.2	,ENSG00000224051.2	,GLTPD1
MSTRG.579_1259988_1255079_68	ENSG00000127054.14	ENSG00000127054.14	CPSF3L	,ENSG00000224051.2	,ENSG00000224051.2	,GLTPD1
MSTRG.579_1259988_1256018_56	ENSG00000127054.14	ENSG00000127054.14	CPSF3L	,ENSG00000224051.2	,ENSG00000224051.2	,GLTPD1
MSTRG.580_1262291_1263143_214	ENSG00000224051.2	ENSG00000224051.2	GLTPD1			
MSTRG.573_1310136_1309972_54	ENSG00000175756.9	ENSG00000175756.9	AURKAIP1			
MSTRG.573_1310836_1310681_51	ENSG00000175756.9	ENSG00000175756.9	AURKAIP1			
ENSG00000221978.7_1326238_1324342_141	ENSG00000221978.7	ENSG00000221978.7	CCNL2			
ENSG00000221978.7_1334494_1326918_172	ENSG00000221978.7	ENSG00000221978.7	CCNL2	,ENSG00000224870.3	,ENSG00000224870.3	,RP4-758J18.2
ENSG00000221978.7_1334686_1326235_227	ENSG00000221978.7	ENSG00000221978.7	CCNL2	,ENSG00000224870.3	,ENSG00000224870.3	,RP4-758J18.2
MSTRG.575_1334979_1336014_88	ENSG00000224870.3	ENSG00000224870.3	RP4-758J18.2	ENSG00000221978.7,	ENSG00000221978.7,	CCNL2,
MSTRG.583_1447543_1447629_28	ENSG00000197785.9	ENSG00000197785.9	ATAD3A			
MSTRG.582_1509937_1499915_153	ENSG00000160075.10	ENSG00000160075.10	SSU72	,ENSG00000215791.2,ENSG00000215014.3	,ENSG00000215791.2,ENSG00000215014.3	,AL645728.2,AL645728.1
ENSG00000197530.8_1550840_1561123_454	ENSG00000272106.1,ENSG00000197530.8	ENSG00000272106.1,ENSG00000197530.8	RP11-345P4.9,MIB2	,	,	,
MSTRG.590_1599794_1597221_88	ENSG00000189339.7	ENSG00000189339.7	SLC35E2B			
MSTRG.584_1709851_1709813_12	ENSG00000008130.11	ENSG00000008130.11	NADK			
MSTRG.595_2077475_2087535_138	ENSG00000067606.11	ENSG00000067606.11	PRKCZ			
MSTRG.601_2318915_2316564_60	ENSG00000116151.9,ENSG00000178642.5	ENSG00000116151.9,ENSG00000178642.5	MORN1,AL513477.1	,	,	,
MSTRG.601_2322972_2310661_156	ENSG00000116151.9,ENSG00000178642.5	ENSG00000116151.9,ENSG00000178642.5	MORN1,AL513477.1	,,ENSG00000157916.14	,,ENSG00000157916.14	,,RER1
MSTRG.615_2442819_2442208_18	ENSG00000157881.9	ENSG00000157881.9	PANK4			
MSTRG.615_2441512_2441297_29	ENSG00000157881.9	ENSG00000157881.9	PANK4			
MSTRG.615_2445497_2444323_70	ENSG00000157881.9	ENSG00000157881.9	PANK4			
MSTRG.615_2458026_2452741_45	ENSG00000157881.9	ENSG00000157881.9	PANK4			
MSTRG.609_3388222_3390212_180	ENSG00000130762.10	ENSG00000130762.10	ARHGEF16			
ENSG00000116213.11_3555431_3553436_114	ENSG00000116213.11	ENSG00000116213.11	WRAP73			
ENSG00000227372.6_3663874_3663701_57	ENSG00000227372.6	ENSG00000227372.6	TP73-AS1			
MSTRG.619_3773729_3773556_57	ENSG00000116198.8	ENSG00000116198.8	CEP104	,ENSG00000169598.11	,ENSG00000169598.11	,DFFB
MSTRG.620_3782460_3784576_47	ENSG00000169598.11	ENSG00000169598.11	DFFB			
MSTRG.620_3774168_3782327_80	ENSG00000169598.11	ENSG00000169598.11	DFFB	ENSG00000116198.8,	ENSG00000116198.8,	CEP104,
MSTRG.626_6052734_6052781_15	ENSG00000069424.10	ENSG00000069424.10	KCNAB2	ENSG00000131697.13,	ENSG00000131697.13,	NPHP4,
MSTRG.626_6086470_6100618_25	ENSG00000069424.10	ENSG00000069424.10	KCNAB2	,ENSG00000268332.1	,ENSG00000268332.1	,AL035406.1
MSTRG.631_6295971_6294505_116	ENSG00000116237.11	ENSG00000116237.11	ICMT	,ENSG00000225077.2	,ENSG00000225077.2	,LINC00337
MSTRG.631_6295971_6292179_94	ENSG00000116237.11	ENSG00000116237.11	ICMT	,ENSG00000225077.2	,ENSG00000225077.2	,LINC00337
MSTRG.622_6453363_6399648_14	ENSG00000097021.15	ENSG00000097021.15	ACOT7	,ENSG00000271746.1	,ENSG00000271746.1	,RP1-202O8.3
ENSG00000116273.5_6676870_6679897_27	ENSG00000116273.5	ENSG00000116273.5	PHF13			
MSTRG.652_6685279_6687943_64	ENSG00000041988.11	ENSG00000041988.11	THAP3			
MSTRG.652_6685279_6690354_26	ENSG00000041988.11	ENSG00000041988.11	THAP3			
MSTRG.653_6761860_6727842_76	ENSG00000007923.11	ENSG00000007923.11	DNAJC11			
MSTRG.653_6740973_6730955_31	ENSG00000007923.11	ENSG00000007923.11	DNAJC11			
MSTRG.645_8021764_8022838_15	ENSG00000116288.8	ENSG00000116288.8	PARK7			
MSTRG.647_8934967_8930277_123	ENSG00000074800.9	ENSG00000074800.9	ENO1			
MSTRG.647_8934967_8931939_63	ENSG00000074800.9	ENSG00000074800.9	ENO1			
ENSG00000049239.8_9294862_9305109_129	ENSG00000049239.8	ENSG00000049239.8	H6PD			
MSTRG.663_9640273_9642459_40	ENSG00000171612.6	ENSG00000171612.6	SLC25A33			
MSTRG.683_9801300_9801214_28	ENSG00000171603.12	ENSG00000171603.12	CLSTN1			
MSTRG.685_9932122_9910776_81	ENSG00000178585.10	ENSG00000178585.10	CTNNBIP1			
MSTRG.685_9970274_9943781_45	ENSG00000178585.10	ENSG00000178585.10	CTNNBIP1			
MSTRG.658_10002793_10002689_34	ENSG00000162441.7	ENSG00000162441.7	LZIC	,ENSG00000228150.1	,ENSG00000228150.1	,RP11-84A14.4
